161	6954	3	13.83
643	21	13	23.61
290	104	78	14.02
109	2296	7	6.81
9387	108	4	16.63
441	336	5	10.51
4498	16	4	8.41
165	199	29	20.98
286	282	7	8.26
289	678	4	8.58
122	13306	3	15.23
319	1119	3	8.58
592	541	3	8.75
114	6451	6	20.82
5346	120	4	9.29
157	12876	3	21.41
301	386	5	7.21
143	2026	5	8.51
146	126	99	8.31
2210	113	13	30.1
138	1635	6	8.8
162	1285	8	21.17
2	2909	6	12.8
289	383	8	17.07
3443	417	3	17.95
505	4054	3	21.01
439	241	6	8.74
1492	1293	4	29.72
118	228	156	297.12
175	2408	4	12.53
12	8403	5	7.15
232	6470	3	17.51
560	218	9	22.66
107	225	69	13
197	641	7	12.92
645	516	4	14.07
195	4858	3	13.84
1074	132	8	8.61
11917	104	3	8.91
380	14	151	7.05
9255	9435	4	79.38
1073	817	4	22.7
2032	114	11	18.24
672	4414	3	23.65
109	2418	10	16.74
291	102	108	14.37
198	2398	3	8.84
110	1182	25	54.42
197	424	17	44.28
2	1832	8	13.26
320	2166	3	12.95
5850	118	5	13.69
7747	101	5	10.59
430	4090	3	19.89
218	13321	3	26.82
113	1179	11	7.7
119	2299	7	9.72
269	895	4	9.85
6367	2644	5	67.35
233	45	38	84.15
231	917	11	45.03
1515	214	3	6.83
119	5208	5	12.55
143	1466	7	11.78
116	137	204	40.3
808	102	36	14.74
4737	108	5	8.26
2700	11437	3	45.42
9	11538	3	17.25
947	2251	3	21.16
413	600	3	7.07
377	652	9	39.62
110	6456	4	8.02
883	188	5	8.73
324	378	5	8.26
111	898	15	9.27
112	506	27	15
165	2965	3	7.4
1786	560	3	15.81
1629	226	3	7.63
644	1822	3	17.62
168	116	110	26.61
1147	773	3	15.49
16	8344	3	8.54
2995	178	4	13.94
413	465	8	29.24
116	934	14	11.7
13759	104	3	8.91
838	870	3	14.04
172	3528	5	22.16
913	14	55	9.66
13241	5562	3	51.7
467	358	4	7.95
9551	3127	3	41.75
1297	259	10	51.12
183	2568	4	15.78
21	1295	25	128.18
126	905	12	13.95
5424	166	3	12.14
2673	438	3	16.63
479	114	29	17.07
6483	139	3	9.12
448	3095	3	18.14
447	231	6	8.4
384	413	6	15.76
1193	124	10	13.64
176	858	5	7.14
2218	16	9	17.28
1641	355	3	11.79
122	542	17	9.02
125	1328	8	9.27
845	101	32	8.71
904	107	14	6.78
1721	9203	4	56.73
121	5155	4	8.07
121	6585	4	10.51
394	377	8	24.52
493	204	7	10.27
122	4472	10	50.79
6155	12724	3	51.7
150	164	57	29.39
16	57	263	108.95
3876	108	6	9.91
575	1467	5	29.81
515	9	13	7.11
156	3420	4	12.65
1842	188	5	16.27
282	1868	3	10.78
12685	104	3	8.91
283	3848	3	15.61
2011	206	3	8
2395	12	16	8.23
1917	259	3	10.07
103	7774	5	12.79
221	560	5	6.76
7015	9925	4	71.74
2320	106	11	18.64
