0,1,2,3,4,0,1,2,3,4
Hungary,"Business, Engineering (Erasmus+)","Computing, Media Technology",English,Aug - Dec,Hungary,"Business, Civil and Environmental Eng.","Computing, Media Technology",English,Aug - Dec
Hungary,"Business, Civil and Environmental Eng.","Computing, Media Technology",English,Aug - Dec,Hungary,"Business, Economics, Mechanical and","Computing, Media Technology",English,Aug - Dec
Hungary,"Business, Economics, Mechanical and","Computing, Media Technology",English,Aug - Dec,India,"Business, Media Technology","Computing, Media Technology",English,Aug - Dec
India,"Business, Media Technology","Computing, Media Technology",English,Aug - Dec,Ireland,"Engineering, Business (Erasmus+)","Computing, Media Technology",English,Aug - Dec
Ireland,"Engineering, Business (Erasmus+)","Computing, Media Technology",English,Aug - Dec,Ireland,"Business, Media Technology","Computing, Media Technology",English,Aug - Dec
Ireland,"Business, Media Technology","Computing, Media Technology",English,Aug - Dec,Ireland,"Engineering, Business (ital.)","Computing, Media Technology","Italian, possibly",Aug - Dec
Ireland,"Engineering, Business (ital.)","Computing, Media Technology","Italian, possibly",Aug - Dec,Italy,"Engineering, Business (ital.)","Computing, Media Technology","Italian, possibly",Aug - Dec
Italy,"Engineering, Business (ital.)","Computing, Media Technology","Italian, possibly",Aug - Dec,Italy,"Engineering, Business (ital.)","Computing, Media Technology",English,Aug - Dec
Italy,"Engineering, Business (ital.)","Computing, Media Technology",English,Aug - Dec,Italy,"Business, Economics","Computing, Media Technology",English,Aug - Dec
Italy,"Business, Economics","Computing, Media Technology",English,Aug - Dec,Italy,"Business, Economics","Computing, Media Technology","Italian, possibly",Aug - Dec
Italy,"Business, Economics","Computing, Media Technology","Italian, possibly",Aug - Dec,Italy,"ICT, Computer Engineering (Erasmus+)","Computing, Media Technology","Italian, possibly",Aug - Dec
Italy,"ICT, Computer Engineering (Erasmus+)","Computing, Media Technology","Italian, possibly",Aug - Dec,Italy,"ICT, Computer Engineering (Erasmus+)","Computing, Media Technology",English,Aug - Dec
Italy,"ICT, Computer Engineering (Erasmus+)","Computing, Media Technology",English,Aug - Dec,Italy,"ICT, Computer Engineering (Erasmus+)","Computing, Media Technology","Italian, English",Aug - Dec
Italy,"ICT, Computer Engineering (Erasmus+)","Computing, Media Technology","Italian, English",Aug - Dec,Italy,Business (Erasmus+),"Computing, Media Technology","Italian, English",Aug - Dec
Italy,Business (Erasmus+),"Computing, Media Technology","Italian, English",Aug - Dec,Italy,Business (Erasmus+),"Computing, Media Technology",(Master),Aug - Dec
Italy,Business (Erasmus+),"Computing, Media Technology",(Master),Aug - Dec,Italy,Business (Erasmus+),"Computing, Media Technology","Italian, possibly",Aug - Dec
Italy,Business (Erasmus+),"Computing, Media Technology","Italian, possibly",Aug - Dec,Italy,Tourism (Erasmus+),"Computing, Media Technology","Italian, possibly",Aug - Dec
Italy,Tourism (Erasmus+),"Computing, Media Technology","Italian, possibly",Aug - Dec,Italy,Tourism (Erasmus+),"Computing, Media Technology",English,Aug - Dec
Italy,Tourism (Erasmus+),"Computing, Media Technology",English,Aug - Dec,Japan,"Business, Media Technology","Computing, Media Technology",English,Aug - Dec
Japan,"Business, Media Technology","Computing, Media Technology",English,Aug - Dec,Japan,"Business, Engineering, Social Work,","Computing, Media Technology",English,Aug - Dec
Japan,"Business, Engineering, Social Work,","Computing, Media Technology",English,Aug - Dec,Jordan,"Business, Engineering, Social Work,","Computing, Media Technology","English, German",Aug - Dec
Jordan,"Business, Engineering, Social Work,","Computing, Media Technology","English, German",Aug - Dec,Korea,"Business, Electrical Engineering","Computing, Media Technology",English,Aug - Dec
Korea,"Business, Electrical Engineering","Computing, Media Technology",English,Aug - Dec,Korea,"Business, Engineering","Computing, Media Technology",English,Aug - Dec
Korea,"Business, Engineering","Computing, Media Technology",English,Aug - Dec,Korea,"Engineering, Economics","Computing, Media Technology",English,Aug - Dec
